Symbol,Name,Open,Last,Prev_Open,Prev_Last,Open_2D_Ago,Last_2D_Ago,20D_MA,Volume,Industry,Sector
BABY-WT-A.TO,Else Nutrition Holdings Inc.,0.18,0.18,0.2,0.2,0.2,0.2,0.2167,15000,N/L,N/A
EMA-PR-H.TO,Emera Inc Pref Series H,24.51,24.51,24.4,24.5,24.49,24.5,24.52,500,N/L,N/A
EMA-PR-F.TO,Emera Inc Series F Pref,22.19,22.15,21.45,22.02,21.3,21.92,21.52,9600,N/L,N/A
EMA-PR-L.TO,Emera Inc.,20.3,20.15,20.35,20.35,19.99,20.1,19.91,217900,N/L,N/A
EMA.TO,Emera Incorporated,63.14,63.19,64.13,63.32,64.45,63.96,62.78,81301,N/L,Utilities
EMH.CN,Emerald Health Therapeutics Inc,0.045,0.05,0.05,0.05,0.045,0.05,0.044,16121,N/L,N/A
ECOM.VN,Emerge Commerce Ltd,0.32,0.3,0.26,0.3,0.21,0.27,0.279,133333,N/L,N/A
EMO.VN,Emerita Resources Corp,1.56,1.68,1.46,1.52,1.4,1.5,1.523,215473,N/L,Basic Materials
EMNT.VN,Eminent Gold Corp,0.49,0.495,0.49,0.49,0.495,0.49,0.529,68500,N/L,Basic Materials
EMPS.CN,Emp Metals Corp.,0.345,0.355,0.375,0.355,0.37,0.35,0.38,16500,N/L,N/A
EMP-A.TO,Empire Company Ltd,41.12,41.22,40.84,40.97,40.59,40.77,41.51,69344,N/L,Consumer Staples
CBDT.CN,Empower Clinics Inc,0.095,0.1,0.1,0.09,0.1,0.1,0.107,695347,N/L,N/A
EMPR.VN,Empress Royalty Corp,0.23,0.215,0.21,0.235,0.21,0.21,0.207,63559,N/L,N/A
ENB.TO,Enbridge Inc,59.15,59.45,58.51,58.78,58,58.59,57.21,852619,N/L,Oils-Energy
ENB-PR-B.TO,Enbridge Inc Cum Redeem Pref Ser B,19.59,19.65,19.49,19.59,19.37,19.3,19.28,5750,N/L,N/A
ENB-PF-A.TO,Enbridge Inc Pref Ser 9,19,18.75,18.45,18.55,18.45,18.47,18.43,17106,N/L,N/A
ENB-PR-D.TO,Enbridge Inc Pref Ser D,18.89,18.86,18.71,18.79,18.7,18.69,18.66,17200,N/L,N/A
ENB-PR-F.TO,Enbridge Inc Pref Ser F,19.51,19.52,19.5,19.5,19.5,19.5,19.21,9100,N/L,N/A
ENB-PR-H.TO,Enbridge Inc Pref Ser H,17.89,17.89,17.8,17.79,17.75,17.75,17.78,8200,N/L,N/A
ENB-PF-U.TO,Enbridge Inc Pref Ser L,23.89,23.74,23.86,23.89,23.59,23.85,23.78,16200,N/L,N/A
EU.VN,Encore Energy Corp,1.32,1.3,1.29,1.285,1.17,1.26,1.232,60150,N/L,N/A
EDV.TO,Endeavour Mining Corp,29.39,29.37,29.43,29.4,29.46,29.5,30.1,29785,N/L,N/A
EDR.TO,Endeavour Silver Corp,4.69,4.63,4.75,4.74,4.56,4.69,4.58,65687,N/L,N/A
EDG.VN,Endurance Gold Corp,0.34,0.33,0.33,0.33,0.33,0.33,0.338,7500,N/L,Basic Materials
ENDR.VN,Enduro Metals Corp,0.23,0.235,0.235,0.235,0.225,0.23,0.237,13500,N/L,Basic Materials
EFX.TO,Enerflex Ltd,7.9,7.98,7.81,7.92,7.77,7.83,7.9,25923,N/L,Oils-Energy
EFR.TO,Energy Fuels Inc,8.58,8.59,8.46,8.45,7.99,8.31,8.19,82846,N/L,N/A
ENI-UN.TO,Energy Income Fund,1.5,1.5,1.5,1.53,1.48,1.5,1.56,5001,N/L,Finance
ERF.TO,Enerplus Corp,19.12,19.07,18.59,19.07,18.43,18.64,16.69,330431,N/L,Oils-Energy
ENGH.TO,Enghouse Systems Ltd,33.97,34.24,33.35,33.89,32.83,33.21,33.37,16261,N/L,Computers and Technology
EGM.VN,Engold Mines Ltd,0.2,0.18,0.2,0.2,0.195,0.19,0.213,15000,N/L,Basic Materials
ESI.TO,Ensign Energy Services Inc,4.88,4.86,4.79,4.84,4.85,4.8,4.29,196286,N/L,Oils-Energy
E.TO,Enterprise Group Inc,0.39,0.39,0.395,0.385,0.39,0.39,0.3817,6200,N/L,Construction
OOOO.VN,Entertainment Commerce Ltd,0.105,0.105,0.12,0.12,0.12,0.12,0.141,25300,N/L,Computers and Technology
ENBI.CN,Entheon Biomedical Corp,0.065,0.065,0.07,0.065,0.065,0.07,0.075,53700,N/L,N/A
EGLX.TO,Enthusiast Gaming Holdings Inc,2.9,3.17,2.83,2.84,2.67,2.78,2.57,355173,N/L,Computers and Technology
ENTG.VN,Entourage Health Corp,0.07,0.065,0.06,0.065,0.06,0.06,0.068,42936,N/L,Medical
ENTG-DB.VN,Entourage Health Corp,58,58,58,58,55.01,55.01,43.05,28000,N/L,N/A
ETG.TO,Entree Resources Ltd,0.86,0.86,0.86,0.84,0.85,0.87,0.9,18500,N/L,Basic Materials
NVRO.CN,Envirogold Global Ltd,0.295,0.29,0.32,0.295,0.31,0.31,0.305,25388,N/L,N/A
EWS.VN,Environmental Waste International Inc,0.055,0.055,0.055,0.055,0.05,0.055,0.053,6000,N/L,Industrial Products
ENW.VN,Enwave Corp,0.72,0.67,0.72,0.67,0.74,0.73,0.712,22825,N/L,N/A
EQ.VN,Eq Inc,1.24,1.25,1.24,1.25,1.26,1.25,1.237,22500,N/L,Consumer Discretionary
EQX.TO,Equinox Gold Corp,7.64,7.68,7.61,7.58,7.6,7.56,7.56,155150,N/L,Basic Materials
EQB.TO,Equitable Group Inc,62.95,64.66,62.62,62.42,61.35,62.23,58.36,67369,N/L,N/A
EQTY.VN,Equity Metals Corp,0.095,0.1,0.1,0.1,0.105,0.105,0.103,39702,N/L,N/A
ERD.TO,Erdene Resource Development Corp,0.38,0.385,0.36,0.385,0.375,0.37,0.398,26945,N/L,Basic Materials
EV.VN,Erin Ventures Inc,0.055,0.06,0.06,0.06,0.05,0.05,0.054,216410,N/L,Basic Materials
ERO.TO,Ero Copper Corp,15.85,16,15.7,15.65,15.64,15.57,15.41,76808,N/L,Basic Materials
ERC.VN,Eros Resources Corp,0.08,0.08,0.085,0.08,0.08,0.08,0.092,3000,N/L,Basic Materials
ESE.VN,Ese Entertainment Inc,0.68,0.7,0.68,0.67,0.68,0.67,0.765,50128,N/L,N/A
ESGW.VN,ESG Global Impact Capital Inc,0.075,0.07,0.075,0.075,0.105,0.085,0.124,80000,N/L,Finance
ESK.VN,Eskay Mining Corp,2.18,2.18,2.35,2.18,2.14,2.34,2.046,7342,N/L,Basic Materials
ESN.TO,Essential Energy Services Ltd,0.455,0.47,0.47,0.455,0.45,0.46,0.4523,28000,N/L,Basic Materials
ETHC.NE,Ether Capital Corp,2.2,2.33,2.22,2.14,2.25,2.22,2.552,23655,N/L,N/A
ETR.CN,Etruscus Resources Corp,0.105,0.11,0.11,0.11,0.11,0.11,0.126,88000,N/L,N/A
ESM.TO,Euro Sun Mining Inc,0.17,0.165,0.165,0.17,0.16,0.17,0.1725,19402,N/L,N/A
EVX.VN,European Electric Metals Inc,0.05,0.05,0.055,0.05,0.06,0.06,0.068,15600,N/L,Basic Materials
ERE-UN.TO,European Residential Real Estate Invs. Trust,4.61,4.66,4.64,4.63,4.65,4.59,4.68,12102,N/L,Finance
EVNI.VN,Ev Nickel Inc,0.15,0.15,0.15,0.155,0.15,0.15,0.16,15004,N/L,N/A
EVTG.NE,Ev Technology Group Ltd.,1.59,1.45,1.52,1.6,1.35,1.4,1.24,27149,N/L,N/A
EVER.VN,Evergold Corp,0.105,0.1,0.105,0.1,0.11,0.1,0.094,14200,N/L,Basic Materials
EXN.TO,Excellon Resources Inc,0.67,0.62,0.69,0.69,0.63,0.67,0.74,20323,N/L,Basic Materials
MIN.TO,Excelsior Mining Corp,0.26,0.255,0.26,0.27,0.25,0.27,0.2505,25209,N/L,Basic Materials
EIF.TO,Exchange Income Corp,46.03,46.34,45.75,46.08,44.38,45.55,43.09,27129,N/L,Aerospace
EIF-DB-L.TO,Exchange Income Corp 5.25 Pct Debs,100,100,98.34,99.96,99.49,98.26,98.82,20999,N/L,N/A
EIF-DB-M.TO,Exchange Income Corp 5.25 Pct Debs,98.42,98.41,97.99,98.45,97,97,97.15,36000,N/L,N/A
XTC.TO,Exco Tech,8.62,8.51,8.42,8.5,8.48,8.35,8.7,11182,N/L,Auto-Tires-Trucks
EXG.VN,Exgen Resources Inc,0.085,0.08,0.095,0.095,0.09,0.09,0.094,21500,N/L,N/A
NFLD.CN,Exploits Discovery Corp,0.22,0.23,0.23,0.22,0.24,0.24,0.264,24300,N/L,N/A
EXRO.TO,Exro Technologies Inc,1.47,1.55,1.45,1.47,1.41,1.41,1.41,80135,N/L,N/A
